"SA2Name","SA2Code","Score","norm_weekend_percentage","avg_trips_per_stop","reliance_on_PT","cluster"
"Currumbin Waters",309021232,994,19.3188090855552,655.529411764706,1.38358778625954,"5"
"Daisy Hill",311061329,1040,9.841338606941,4695.2,5.34841075794621,"5"
"Dakabin - Kallangur",314021388,940,8.76148549252624,9275.61764705882,6.30072034284672,"5"
"Darra - Sumner",310011271,959,8.83165660395099,34349.8333333333,12.7441860465116,"2"
"Deagon",302041043,970,7.66283088762835,17367.5416666667,16.1610268378063,"2"
"Deception Bay",313041373,889,14.5505191982381,7038.58620689655,3.23401162790698,"5"
"Diddillibah - Rosemount",316071546,1020,23.1273562779061,1517,1.22100122100122,"5"
"Durack",310011272,932,18.7423693012359,9657.89655172414,7.50493745885451,"5"
"Eagle Farm - Pinkenba",302031037,1063,24.3001490235483,3022.86666666667,9.03490759753593,"5"
"Eagleby",311021307,849,12.0940813089573,2459.74468085106,4.00829302004147,"5"
"East Brisbane",305021115,1084,23.6232583521453,31436.8148148148,19.6888090963495,"2"
"Eatons Hill",314011385,1114,7.79321390433673,7379.21428571429,3.81679389312977,"5"
"Edens Landing - Holmview",311021308,955,12.2070089234499,3718.56,4.36578171091445,"5"
"Eight Mile Plains",303031060,1054,20.4945111195834,19284.9787234043,14.087439278279,"2"
"Elanora",309021233,1010,25.730628870322,810.891304347826,1.29823296069239,"5"
"Elimbah",313021367,1004,5.98309803163259,12244.5,3.53982300884956,"5"
"Enoggera",304041098,1053,11.5283626521445,22576,14.9017933390265,"2"
"Esk",310021278,908,25.1977964680012,166.2,0.355029585798817,"5"
"Eumundi - Yandina",316071547,1003,33.1724224236599,3647.66666666667,0.736377025036819,"5"
"Everton Park",302011025,1047,15.7239161330606,6392.88,10.2183591265635,"5"
"Fairfield - Dutton Park",303021054,1064,15.3589824996427,42896.1458333333,19.0970834998002,"2"
"Fig Tree Pocket",304021089,1170,30.8059387962059,8006.76,5.88235294117647,"5"
"Forest Lake - Doolandella",310011273,1013,17.8577705810144,15269.8,7.93415393741658,"2"
"Fortitude Valley",305011106,1064,25.7314012244042,185167.955555556,19.8281559814937,"3"
"Gatton",317011448,899,18.2857611820073,4535.375,0.575490859851049,"5"
"Geebung",302021030,1041,14.0871909796383,10135.8918918919,12.430426716141,"5"
"Glass House Mountains",316061441,989,9.29571074036543,14786,3.38201383551115,"5"
"Golden Beach - Pelican Waters",316021421,1004,19.814805464171,1188.27777777778,1.19882379552138,"5"
"Goodna",310041300,868,12.9650053973523,17262.0294117647,7.59661196400212,"2"
"Grange",305031123,1136,14.1416950943278,5023.53571428571,12.7622377622378,"5"
"Greenslopes",303021055,1069,19.7474744904333,32073.6,20.405129158149,"2"
"Gympie - North",319031512,870,24.0432791133473,14222,0.876120619396903,"5"
"Gympie Region",319031514,935,44.0363701194509,152,0.767941915666015,"5"
"Hamilton (Qld)",305031124,1109,36.5028369585592,25344.275862069,12.6078485944893,"2"
"Hawthorne",305021116,1146,21.7395058849943,17468.3214285714,15.8099964551577,"2"
"Helensvale",309071252,1035,21.5289352547173,22613.8507462687,2.48478071810163,"2"
"Hendra",305031125,1125,12.6520797173192,4669.97368421053,8.714859437751,"5"
"Highgate Hill",305011107,1058,26.4325482390212,20826.7619047619,15.8128516434705,"2"
"Highland Park",309061247,984,15.413234929588,2130.69565217391,1.36239782016349,"5"
"Hillcrest",311031316,978,8.66148771225092,7718.19230769231,3.11100049776008,"5"
"Holland Park",303021056,1057,15.8715983722681,11307.2040816327,13.7947725072604,"5"
"Holland Park West",303021057,1086,14.6314441355507,30895.1935483871,15.5136885487195,"2"
"Hope Island",309071253,1080,19.6703792141867,2196.85714285714,1.44230769230769,"5"
"Inala - Richlands",310011274,798,13.7993419488584,15289.4716981132,7.31295705981624,"2"
"Ipswich - Central",310031286,933,17.1407069810198,18269.6470588235,5.41556976306882,"2"
"Ipswich - East",310031287,906,13.3334017083569,6190.0202020202,6.82844243792325,"5"
"Ipswich - North",310031288,1033,11.5151515151515,23.6666666666667,1.81587837837838,"5"
"Jindalee - Mount Ommaney",304011081,1095,16.9305088437507,25555.6086956522,7.78841041998937,"2"
"Kangaroo Point",305011108,1085,22.9474825903535,24229,20.4226783174152,"2"
"Kedron - Gordon Park",302021031,1075,16.2125195260257,8125.3164556962,14.0005185377236,"5"
"Kenmore",304021090,1119,19.1939001297422,12211.7222222222,9.06759906759907,"5"
"Keperra",304041100,990,12.5724059733236,10426.4464285714,13.8907395069953,"5"
"Kingston (Qld.)",311061330,822,14.7191838682369,5904.32727272727,5.97826086956522,"5"
"Kuraby",303061077,1046,13.1566429916494,13299.7619047619,9.35251798561151,"5"
"Labrador",309031238,925,28.4406165243515,6432.09722222222,3.88651379712398,"5"
"Lawnton",314031392,944,11.7845541908517,7821.08,10.3460837887067,"5"
"Leichhardt - One Mile",310031291,843,17.0758806297187,2682.0303030303,3.0256012412723,"5"
"Lockyer Valley - East",310021280,917,13.929434245321,2713.7,0.739078791078263,"5"
"Logan Central",311061331,773,17.3150113887097,22648.9696969697,7.12530712530713,"2"
"Loganholme - Tanah Merah",311051325,995,11.033764227048,3025.54285714286,4.47435431065842,"5"
"Loganlea",311051326,898,14.3234527249195,20292.9183673469,6.09137055837564,"2"
"Lowood",310021281,918,9.37758178560316,670.25,0.688116049841919,"5"
"Macgregor (Qld)",303031061,1019,39.6251632344045,30308.2222222222,19.1454396055875,"2"
"Main Beach",309101269,1064,39.7435825031542,33874.1578947368,7.45945945945946,"2"
"Manly - Lota",301031015,1050,13.1833863527439,14824.1707317073,10.8393551973319,"5"
