"SA2Code","SA2Name","Score","Team_Member","number_of_employees","Pop","percent_unemployed","number_worked_from_home","pt_to_work","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars","dwellings_with_no_cars","Total_dwelings","percentage_houses_no_cars"
310011276,"Wacol",793,"Eric",836,5816,85.6258596973865,26,57,70,862,8.12064965197216,70,862,8.12064965197216
305031120,"Alderley",1106,"Steff",3488,5999,41.8569761626938,153,643,181,2326,7.78159931212382,181,2326,7.78159931212382
303051073,"Calamvale - Stretton",1056,"Kate",10085,21249,52.5389430090828,422,1078,147,6510,2.25806451612903,147,6510,2.25806451612903
303051072,"Algester",1003,"Charlie",4068,8433,51.760939167556,145,395,111,2841,3.90707497360084,111,2841,3.90707497360084
304021091,"Pinjarra Hills - Pullenvale",1161,"Steff",2642,5398,51.0559466469063,289,121,35,1648,2.12378640776699,35,1648,2.12378640776699
303041067,"Coopers Plains",978,"Charlie",2458,5487,55.2032075815564,62,399,177,1848,9.57792207792208,177,1848,9.57792207792208
303041069,"Robertson",1038,"Dave",2116,5101,58.5179376592825,105,326,84,1587,5.2930056710775,84,1587,5.2930056710775
303051074,"Pallara - Willawong",1061,"Kate",2452,4702,47.8519778817524,129,143,17,1390,1.22302158273381,17,1390,1.22302158273381
304011081,"Jindalee - Mount Ommaney",1095,"Steff",3762,7514,49.9334575459143,235,293,92,2568,3.58255451713396,92,2568,3.58255451713396
304011085,"Westlake",1123,"Steff",2314,4352,46.8290441176471,143,154,13,1426,0.91164095371669,13,1426,0.91164095371669
304011083,"Riverhills",1049,"Kate",2143,4042,46.9816922315685,83,171,33,1443,2.28690228690229,33,1443,2.28690228690229
310011275,"Oxley (Qld)",1051,"Kate",3758,7815,51.91298784389,165,550,144,2634,5.46697038724374,144,2634,5.46697038724374
310011272,"Durack",932,"Eric",3038,7948,61.7765475591344,90,228,253,2655,9.52919020715631,253,2655,9.52919020715631
303031061,"Macgregor (Qld)",1019,"Dave",2434,5849,58.3860488972474,116,466,153,1780,8.59550561797753,153,1780,8.59550561797753
303061080,"Sunnybank Hills",1015,"Dave",7733,18085,57.2408072988665,361,925,268,5656,4.73833097595474,268,5656,4.73833097595474
303061077,"Kuraby",1046,"Kate",3614,8378,56.8632131773693,178,338,83,2462,3.37124289195776,83,2462,3.37124289195776
301031018,"Tingalpa",1026,"Dave",4536,8708,47.9099678456592,162,359,106,3137,3.37902454574434,106,3137,3.37902454574434
304041104,"Upper Kedron - Ferny Grove",1090,"Steff",4942,9907,50.1160795397194,210,642,56,3155,1.77496038034865,56,3155,1.77496038034865
303051075,"Parkinson - Drewvale",1064,"Kate",7765,15585,50.176451716394,285,608,94,4567,2.05824392380118,94,4567,2.05824392380118
311031312,"Browns Plains",914,"Eric",3157,7368,57.1525515743757,81,132,119,2334,5.09854327335047,119,2334,5.09854327335047
301011005,"Thorneside",983,"Charlie",1836,3761,51.1831959585217,75,141,61,1530,3.98692810457516,61,1530,3.98692810457516
311031316,"Hillcrest",978,"Charlie",4018,8152,50.711481844946,150,125,80,2622,3.0511060259344,80,2622,3.0511060259344
309031236,"Biggera Waters",976,"Charlie",3923,8534,54.0309350831966,166,113,234,3442,6.79837303893085,234,3442,6.79837303893085
309021231,"Currumbin - Tugun",1001,"Charlie",5309,11316,53.0841286673736,313,125,219,4349,5.03564037709818,219,4349,5.03564037709818
309011227,"Mermaid Beach - Broadbeach",1022,"Dave",6508,11921,45.407264491234,404,429,457,5112,8.93974960876369,457,5112,8.93974960876369
309011225,"Burleigh Heads",1023,"Dave",4300,8770,50.9692132269099,312,145,242,3541,6.83422761931658,242,3541,6.83422761931658
309011226,"Burleigh Waters",1021,"Dave",6630,14156,53.1647358010737,372,150,196,5280,3.71212121212121,196,5280,3.71212121212121
309071251,"Coomera",1016,"Dave",6212,13305,53.3107854190154,308,221,72,3936,1.82926829268293,72,3936,1.82926829268293
309071252,"Helensvale",1035,"Dave",8049,16862,52.2654489384415,468,200,193,5628,3.42928216062544,193,5628,3.42928216062544
309101269,"Main Beach",1064,"Kate",1850,3883,52.3564254442441,210,138,88,1675,5.25373134328358,88,1675,5.25373134328358
309051244,"Mudgeeraba - Bonogin",1040,"Dave",8871,18263,51.4263812079067,620,119,89,5774,1.5413924489089,89,5774,1.5413924489089
309061248,"Nerang - Mount Nathan",962,"Charlie",9279,20529,54.8005260850504,451,188,464,7345,6.31722260040844,464,7345,6.31722260040844
309071256,"Oxenford - Maudsland",1017,"Dave",7858,15795,50.250079138968,381,139,78,5107,1.5273154493832,78,5107,1.5273154493832
309071257,"Pimpama",977,"Charlie",4007,9167,56.2888622231919,140,110,42,2681,1.56657963446475,42,2681,1.56657963446475
309081261,"Robina",1039,"Dave",11026,23106,52.2807928676534,706,340,235,8037,2.92397660818713,235,8037,2.92397660818713
309031240,"Runaway Bay",1023,"Dave",3836,9068,57.6973974415527,331,101,198,3787,5.2284129918141,198,3787,5.2284129918141
309091541,"Southport - South",978,"Charlie",7400,17208,56.9967456996746,350,488,615,6688,9.19557416267943,615,6688,9.19557416267943
316011415,"Mountain Creek",1029,"Dave",5720,11254,49.1736271547894,314,87,59,3739,1.577962021931,59,3739,1.577962021931
309101270,"Surfers Paradise",983,"Charlie",11222,23689,52.6278019333868,657,1181,1336,9697,13.777456945447,1336,9697,13.777456945447
309081262,"Varsity Lakes",1008,"Charlie",7224,15183,52.4204702627939,367,259,252,5428,4.64259395725866,252,5428,4.64259395725866
309031235,"Arundel",1010,"Dave",4680,10246,54.3236384930705,258,143,75,3493,2.14715144574864,75,3493,2.14715144574864
309091263,"Ashmore",1006,"Charlie",5426,11910,54.4416456759026,287,105,224,4340,5.16129032258065,224,4340,5.16129032258065
309101267,"Benowa",1064,"Kate",3886,8741,55.5428440681844,337,58,70,2875,2.43478260869565,70,2875,2.43478260869565
309011224,"Broadbeach Waters",1067,"Kate",3763,7779,51.6261730299524,317,125,103,2821,3.65118752215526,103,2821,3.65118752215526
309101268,"Bundall",1077,"Kate",2232,4523,50.6522219765642,223,43,40,1619,2.47066090179123,40,1619,2.47066090179123
309061246,"Carrara",1006,"Charlie",5985,12189,50.898350972188,331,130,145,4611,3.14465408805031,145,4611,3.14465408805031
309081259,"Clear Island Waters",1073,"Kate",1742,4120,57.7184466019417,150,24,75,1564,4.79539641943734,75,1564,4.79539641943734
309021230,"Coolangatta",963,"Charlie",2549,5948,57.1452589105582,156,55,298,2627,11.3437381043015,298,2627,11.3437381043015
309031237,"Coombabah",930,"Eric",3965,10388,61.8309587986138,177,86,272,4379,6.21146380452158,272,4379,6.21146380452158
309021232,"Currumbin Waters",994,"Charlie",4192,9121,54.0401271790374,239,58,139,3323,4.18296719831478,139,3323,4.18296719831478
309021233,"Elanora",1010,"Charlie",5546,12145,54.3351173322355,346,72,172,4276,4.02245088868101,172,4276,4.02245088868101
309061247,"Highland Park",984,"Charlie",4037,8368,51.7566921606118,191,55,56,2870,1.95121951219512,56,2870,1.95121951219512
309031239,"Paradise Point - Hollywell",1051,"Kate",4308,9399,54.1653367379508,417,67,142,3796,3.74077976817703,142,3796,3.74077976817703
309071253,"Hope Island",1080,"Kate",4992,11232,55.5555555555556,551,72,71,4073,1.74318684016695,71,4073,1.74318684016695
309031238,"Labrador",925,"Eric",7719,18261,57.7295876458025,303,300,687,7437,9.23759580475998,687,7437,9.23759580475998
309011228,"Mermaid Waters",1020,"Dave",5812,12170,52.2432210353328,355,194,287,4638,6.1880120741699,287,4638,6.1880120741699
309081260,"Merrimac",983,"Charlie",3361,7071,52.4678263329091,150,71,110,2417,4.55109640049648,110,2417,4.55109640049648
309011229,"Miami",1022,"Dave",3676,6843,46.2808709630279,195,150,204,2826,7.21868365180467,204,2826,7.21868365180467
309091264,"Molendinar",1003,"Charlie",3165,6375,50.3529411764706,132,77,51,2046,2.49266862170088,51,2046,2.49266862170088
309061249,"Pacific Pines - Gaven",1019,"Dave",9065,18320,50.5185589519651,424,211,62,5444,1.13886847905952,62,5444,1.13886847905952
309021234,"Palm Beach",996,"Charlie",7087,14654,51.63777808107,420,225,448,5953,7.52561733579708,448,5953,7.52561733579708
309091265,"Parkwood",1027,"Dave",4339,8702,50.1378993334866,216,97,66,2679,2.46360582306831,66,2679,2.46360582306831
309091540,"Southport - North",939,"Eric",6160,14697,58.0866843573518,190,570,938,6151,15.2495529182247,938,6151,15.2495529182247
309061250,"Worongary - Tallai",1052,"Kate",3718,7884,52.8411973617453,341,37,46,2451,1.87678498572011,46,2451,1.87678498572011
309071258,"Upper Coomera - Willow Vale",1012,"Dave",14884,31214,52.316268341129,676,338,120,9146,1.31204898316204,120,9146,1.31204898316204
309071255,"Ormeau - Yatala",1030,"Dave",9470,19674,51.865406119752,484,220,78,5893,1.32360427625997,78,5893,1.32360427625997
309051245,"Reedy Creek - Andrews",1061,"Kate",4034,7976,49.4232698094283,280,80,25,2562,0.975800156128025,25,2562,0.975800156128025
316051437,"Sunshine Beach",1036,"Dave",3198,6534,51.0560146923783,385,63,94,2517,3.73460468812078,94,2517,3.73460468812078
316021419,"Caloundra - Kings Beach",919,"Eric",2455,6699,63.3527392148082,162,56,346,2953,11.7168980697596,346,2953,11.7168980697596
316061441,"Glass House Mountains",989,"Charlie",2602,5838,55.429941760877,181,88,43,2015,2.13399503722084,43,2015,2.13399503722084
316061439,"Beerwah",957,"Charlie",3522,8201,57.054017802707,249,92,93,2844,3.27004219409283,93,2844,3.27004219409283
316021418,"Buddina - Minyama",1016,"Dave",2929,6433,54.4691434789367,227,45,146,2546,5.73448546739984,146,2546,5.73448546739984
316031427,"Maroochydore - Kuluin",967,"Charlie",8640,19163,54.9131138130773,475,183,627,8177,7.66784884431943,627,8177,7.66784884431943
316061442,"Landsborough",991,"Charlie",4692,10142,53.7369355156774,315,79,65,3407,1.9078368065747,65,3407,1.9078368065747
316071548,"Nambour",936,"Eric",8294,19962,58.4510570083158,406,115,502,7280,6.8956043956044,502,7280,6.8956043956044
316051434,"Noosa Heads",1055,"Kate",1903,4484,57.5602140945584,300,47,83,1764,4.70521541950113,83,1764,4.70521541950113
316051435,"Noosaville",1014,"Dave",3481,8735,60.1488265598168,389,61,228,3691,6.17718775399621,228,3691,6.17718775399621
316011416,"Sippy Downs",985,"Charlie",4216,10298,59.0600116527481,167,76,161,3335,4.82758620689655,161,3335,4.82758620689655
316051438,"Tewantin",957,"Charlie",3999,10308,61.2048894062864,268,75,232,4055,5.7213316892725,232,4055,5.7213316892725
316031428,"Mooloolaba - Alexandra Headland",1008,"Charlie",5720,11694,51.0860270224047,382,130,318,4733,6.71878301288823,318,4733,6.71878301288823
316021422,"Moffat Beach - Battery Hill",993,"Charlie",3403,7838,56.5833120694055,265,68,183,3087,5.92808551992225,183,3087,5.92808551992225
316021424,"Wurtulla - Birtinya",1012,"Dave",3677,7838,53.0875223271243,206,62,89,2906,3.06262904335857,89,2906,3.06262904335857
316071545,"Bli Bli",998,"Charlie",3766,8351,54.9036043587594,178,43,83,2966,2.79838165879973,83,2966,2.79838165879973
316021423,"Parrearra - Warana",1013,"Dave",4185,9502,55.9566407072195,319,79,170,3586,4.74065811489124,170,3586,4.74065811489124
316011414,"Buderim - South",1054,"Kate",7747,16323,52.539361636954,648,125,151,5727,2.63663349048367,151,5727,2.63663349048367
316011413,"Buderim - North",1035,"Dave",7014,16615,57.7851339151369,573,98,405,6433,6.29566298771957,405,6433,6.29566298771957
316021420,"Caloundra - West",993,"Charlie",8735,20277,56.921635350397,409,112,207,7068,2.92869269949066,207,7068,2.92869269949066
316031425,"Coolum Beach",1010,"Dave",6770,14589,53.5951744465008,528,128,175,5398,3.24194145979993,175,5398,3.24194145979993
316081549,"Noosa Hinterland",994,"Charlie",9278,21852,57.5416437854659,982,102,151,7789,1.93863140326101,151,7789,1.93863140326101
316021417,"Aroona - Currimundi",975,"Charlie",4422,10071,56.0917485850462,241,63,135,3634,3.71491469455146,135,3634,3.71491469455146
316071546,"Diddillibah - Rosemount",1020,"Dave",1638,3764,56.4824654622742,155,20,27,1304,2.07055214723926,27,1304,2.07055214723926
316061444,"Palmwoods",1022,"Dave",4835,10613,54.4426646565533,457,67,62,3582,1.73087660524846,62,3582,1.73087660524846
316071547,"Eumundi - Yandina",1003,"Charlie",4753,10548,54.9393249905195,504,35,80,3607,2.21790962018298,80,3607,2.21790962018298
316021421,"Golden Beach - Pelican Waters",1004,"Charlie",4421,11854,62.7045722962713,363,53,257,4749,5.41166561381343,257,4749,5.41166561381343
