SA2Name,SA2Code,SA2Code.x,SA2Code.y,Score,norm_weekend_percentage,avg_trips_per_stop,reliance_on_PT,cluster
North Lakes - Mango Hill,314021390,314021390,314021390,1041,13.38628255,9160.478261,4.517864533,4
Northgate - Virginia,302031038,302031038,302031038,1049,14.70402514,25880.02,18.27160494,2
Nudgee - Banyo,302031039,302031039,302031039,1038,15.32557685,9698.267857,13.63449692,4
Nundah,302031040,302031040,302031040,1041,19.0934276,35247.71622,23.2666484,2
Ormeau - Yatala,309071255,309071255,309071255,1030,11.78865172,487.1578947,2.32312566,4
Ormiston,301021008,301021008,301021008,1067,8.178809043,10065.72,7.037170696,4
Oxenford - Maudsland,309071256,309071256,309071256,1017,26.65659808,7658.659091,1.768897938,4
Oxley (Qld),310011275,310011275,310011275,1051,12.57131689,23798.71429,14.63544439,2
Pacific Pines - Gaven,309061249,309061249,309061249,1019,15.46973536,2083.701754,2.327633756,4
Paddington - Milton,305041135,305041135,305041135,1137,22.72889327,34588.64474,16.32934683,2
Pallara - Willawong,303051074,303051074,303051074,1061,10.28123708,5186.529412,5.831973899,4
Palm Beach,309021234,309021234,309021234,996,35.78983894,11890.54545,3.174827148,4
Palmwoods,316061444,316061444,316061444,1022,16.23758337,3163.214286,1.385729059,4
Paradise Point - Hollywell,309031239,309031239,309031239,1051,25.90318453,2926.041667,1.555246054,4
Parkinson - Drewvale,303051075,303051075,303051075,1064,14.0952743,15831.03704,7.830006439,2
Parkwood,309091265,309091265,309091265,1027,20.6761195,3176.027027,2.235538142,4
Parrearra - Warana,316021423,316021423,316021423,1013,24.0242084,9728.307692,1.887694146,4
Peregian Beach - Marcus Beach,316051543,316051543,316051543,1041,37.67466519,5138.428571,2.253521127,4
Peregian Springs,316051544,316051544,316051544,1056,28.71623948,2395.153846,1.453684922,4
Petrie,314031393,314031393,314031393,1001,11.22563892,46350.24,9.828862165,5
Pimpama,309071257,309071257,309071257,977,8.314473866,20840.41667,2.745195907,2
Pinjarra Hills - Pullenvale,304021091,304021091,304021091,1161,16.09335704,12615.25,4.57986374,4
Raceview,310031293,310031293,310031293,948,12.98169077,2146.425532,2.583081571,4
Red Hill (Qld),305041136,305041136,305041136,1116,18.65031357,7848.142857,14.4245369,4
Redbank Plains,310041302,310041302,310041302,906,16.65908699,2857.904762,3.441057177,4
Redcliffe,313051379,313051379,313051379,921,21.6138906,9157.566038,3.342618384,4
Redland Bay,301021009,301021009,301021009,1033,13.7061049,2995.627451,2.325268817,4
Redland Islands,301021527,301021527,301021527,852,27.98498375,250349,5.664925673,3
Reedy Creek - Andrews,309051245,309051245,309051245,1061,19.62885986,957.8636364,1.983143282,4
Regents Park - Heritage Park,311031319,311031319,311031319,977,10.10676706,1986.757576,3.534647171,4
Riverhills,304011083,304011083,304011083,1049,14.9919301,10391.44444,7.979468035,4
Riverview,310031295,310031295,310031295,798,14.52350124,4379.692308,8.805790109,4
Robertson,303041069,303041069,303041069,1038,34.95169336,66083,15.40642722,5
Robina,309081261,309081261,309081261,1039,26.29149228,18731.26506,3.083620533,2
Rochedale - Burbank,303031064,303031064,303031064,1125,10.79400137,21782.5614,8.373129577,2
Rochedale South - Priestdale,311061332,311061332,311061332,1026,7.9573722,2756.78481,7.720207254,4
Rocklea - Acacia Ridge,303051076,303051076,303051076,891,15.93307255,7777.574468,8.483086681,4
Rosewood,310021282,310021282,310021282,952,14.74632315,6739,2.053231939,4
Rothwell - Kippa-Ring,313051380,313051380,313051380,922,16.40142157,10780.98438,3.186895011,4
Runaway Bay,309031240,309031240,309031240,1023,29.80189339,5099.4,2.632950991,4
Runcorn,303061078,303061078,303061078,1007,20.67432784,24323.70833,14.20571765,2
Salisbury - Nathan,303041070,303041070,303041070,1033,18.59183391,24202.55769,13.36775674,2
Samford Valley,314011387,314011387,314011387,1130,1.062330866,346.1875,3.507271172,4
